base_estimator,n_estimators,max_samples,max_features,R-squared,MAE,MSE,RMSE,RAE,RRSE
,1,2.0,4.0,-0.30002789847911415,0.057654160595783134,0.008451244665323498,0.09193065139181544,1.2687773703103151,1.110797610252331
,1,3.0,0.1,-0.32969691463475853,0.0532447054746988,0.007302817059022438,0.08545652145402619,1.1717398483827142,1.032570729941118
,1,3.0,0.5,-0.23363975740647133,0.05796725516746988,0.00716741015412343,0.08466055843262216,1.275667546200799,1.0229531126541862
,1,3.0,1.0,-0.26628445327089934,0.048243360163253014,0.008400034833072261,0.09165170392890828,1.0616767811782613,1.1074270894250324
,1,3.0,2.0,-0.509023487360442,0.05712164447771084,0.007605765149688344,0.08721103800373176,1.257058451971141,1.053770544813034
,1,3.0,3.0,0.04892102609285519,0.053522375136144586,0.007079614812800353,0.0841404469491359,1.1778504391748366,1.016668608148078
,1,3.0,4.0,-0.17112181751472025,0.053878301437349396,0.01588159649136735,0.1260222063422449,1.1856831997562116,1.5227257016494349
,1,4.0,0.1,-1.466031112860132,0.042278505176807236,0.00712231146613464,0.08439378807788307,0.93041005305702,1.0197297277652078
,1,4.0,0.5,-0.23199845520107704,0.049656432102409644,0.007063378210176241,0.08404390644286022,1.0927738204985002,1.015502109683855
,1,4.0,1.0,-0.01415084610481151,0.04664313654006024,0.007966463027375038,0.08925504482871004,1.0264611523396467,1.0784682692623948
,1,4.0,2.0,-1.704887734630334,0.051006386970180714,0.007796247441310361,0.08829636142735646,1.1224818618517804,1.0668845024219595
,1,4.0,3.0,-0.323664509943956,0.05086019117650602,0.00899423151574529,0.09483792235042525,1.1192645760092288,1.1459261509978529
,1,4.0,4.0,-0.0034185818279513502,0.05723138621024097,0.006940142814041661,0.08330751955280905,1.2594735045080963,1.0066043505001012
,5,0.1,0.1,0.266739232319115,0.037897539142387394,0.005075633698355097,0.07124348179556567,0.8339994816926947,0.8608346414003037
,5,0.1,0.5,0.2895147045705187,0.03338326597059536,0.004295175557371376,0.06553758888890691,0.7346552611788395,0.7918903653714215
,5,0.1,1.0,0.14324541300660004,0.038565513920836,0.005234854541551933,0.07235229465298204,0.8486993970860622,0.874232421722622
,5,0.1,2.0,0.35692119537192163,0.034017113391043616,0.004119760004838871,0.06418535662313384,0.7486041463067089,0.7755513495308294
,5,0.1,3.0,0.5332908701398835,0.02768056108340568,0.003763215031767783,0.06134504895888325,0.6091575896204487,0.7412319259428897
,5,0.1,4.0,0.5721022370522049,0.021108991547208883,0.002772954615138678,0.05265885125160516,0.4645390811071709,0.6362766416133936
,5,0.5,0.1,0.26917544423061524,0.0374967329318988,0.005297960198763738,0.07278708813219374,0.8251790627586107,0.8794860292011899
