hidden_layer_sizes,activation,solver,alpha,batch_size,learning_rate,R-squared,MAE,MSE,RMSE,RAE,RRSE
50,tanh,sgd,0.01,200,adaptive,-1.6858023340815294,0.08380346127804103,0.016700824185964438,0.12923166866509322,1.8442369834976338,1.5615056191681334
50,tanh,adam,1e-05,200,constant,-0.11836646489710181,0.050052376396200846,0.007573486537953665,0.08702578088103355,1.1014872447279829,1.0515320839073417
50,tanh,adam,1e-05,200,invscaling,-0.11836646489710181,0.050052376396200846,0.007573486537953665,0.08702578088103355,1.1014872447279829,1.0515320839073417
50,tanh,adam,1e-05,200,adaptive,-0.11836646489710181,0.050052376396200846,0.007573486537953665,0.08702578088103355,1.1014872447279829,1.0515320839073417
50,tanh,adam,0.0001,200,constant,-0.118378065320946,0.05005271986531915,0.007573554704680045,0.08702617252689013,1.1014948033471736,1.0515368161623073
50,tanh,adam,0.0001,200,invscaling,-0.118378065320946,0.05005271986531915,0.007573554704680045,0.08702617252689013,1.1014948033471736,1.0515368161623073
50,tanh,adam,0.0001,200,adaptive,-0.118378065320946,0.05005271986531915,0.007573554704680045,0.08702617252689013,1.1014948033471736,1.0515368161623073
50,tanh,adam,0.001,200,constant,-0.11849446591335144,0.050056164571450915,0.007574238789730059,0.0870301027790388,1.1015706099349756,1.0515843053797593
50,tanh,adam,0.001,200,invscaling,-0.11849446591335144,0.050056164571450915,0.007574238789730059,0.0870301027790388,1.1015706099349756,1.0515843053797593
50,tanh,adam,0.001,200,adaptive,-0.11849446591335144,0.050056164571450915,0.007574238789730059,0.0870301027790388,1.1015706099349756,1.0515843053797593
50,tanh,adam,0.01,200,constant,-0.11969667678330098,0.05009157321822968,0.007581312830674948,0.08707073463957306,1.1023498371283291,1.0520752599514744
50,tanh,adam,0.01,200,invscaling,-0.11969667678330098,0.05009157321822968,0.007581312830674948,0.08707073463957306,1.1023498371283291,1.0520752599514744
50,tanh,adam,0.01,200,adaptive,-0.11969667678330098,0.05009157321822968,0.007581312830674948,0.08707073463957306,1.1023498371283291,1.0520752599514744
50,logistic,lbfgs,1e-05,200,constant,0.6244488220114099,0.029041886416931183,0.0027248971002667944,0.0522005469345561,0.6391158573145522,0.6307389527964541
50,logistic,lbfgs,1e-05,200,invscaling,0.6244488220114099,0.029041886416931183,0.0027248971002667944,0.0522005469345561,0.6391158573145522,0.6307389527964541
50,logistic,lbfgs,1e-05,200,adaptive,0.6244488220114099,0.029041886416931183,0.0027248971002667944,0.0522005469345561,0.6391158573145522,0.6307389527964541
50,logistic,lbfgs,0.0001,200,constant,0.62054090951375,0.029088793809773732,0.002740043250843183,0.052345422444022585,0.640148133874021,0.6324894828673613
50,logistic,lbfgs,0.0001,200,invscaling,0.62054090951375,0.029088793809773732,0.002740043250843183,0.052345422444022585,0.640148133874021,0.6324894828673613
50,logistic,lbfgs,0.0001,200,adaptive,0.62054090951375,0.029088793809773732,0.002740043250843183,0.052345422444022585,0.640148133874021,0.6324894828673613
50,logistic,lbfgs,0.001,200,constant,0.6224800999205027,0.02905608259067246,0.0027295757874256574,0.05224534225579977,0.6394282681414863,0.6312802144435176
50,logistic,lbfgs,0.001,200,invscaling,0.6224800999205027,0.02905608259067246,0.0027295757874256574,0.05224534225579977,0.6394282681414863,0.6312802144435176
50,logistic,lbfgs,0.001,200,adaptive,0.6224800999205027,0.02905608259067246,0.0027295757874256574,0.05224534225579977,0.6394282681414863,0.6312802144435176
50,logistic,lbfgs,0.01,200,constant,0.6277587298744434,0.02857653878956249,0.0027140323787845206,0.05209637586996355,0.6288750952805251,0.6294802543334825
50,logistic,lbfgs,0.01,200,invscaling,0.6277587298744434,0.02857653878956249,0.0027140323787845206,0.05209637586996355,0.6288750952805251,0.6294802543334825
50,logistic,lbfgs,0.01,200,adaptive,0.6277587298744434,0.02857653878956249,0.0027140323787845206,0.05209637586996355,0.6288750952805251,0.6294802543334825
50,logistic,sgd,1e-05,200,constant,-0.09331935455670198,0.04914937459026141,0.007381235127501802,0.08591411483278986,1.0816151618655172,1.0380998284942393
50,logistic,sgd,1e-05,200,invscaling,-6.084678357671515,0.18668235095603886,0.0422012333031135,0.2054293876326206,4.108261049709469,2.4822022840385363
50,logistic,sgd,1e-05,200,adaptive,-0.09097255913950322,0.04851156010069657,0.0073739468605358805,0.0858716883526572,1.0675789746683857,1.0375871895427113
50,logistic,sgd,0.0001,200,constant,-0.09331927387922583,0.04914937233912699,0.007381234635451604,0.08591411196917305,1.0816151123254947,1.0380997938931713
50,logistic,sgd,0.0001,200,invscaling,-6.084677725125227,0.18668234127326788,0.042201229653229894,0.20542937874907252,4.108260836623709,2.482202176698668
50,logistic,sgd,0.0001,200,adaptive,-0.09097245897663389,0.04851155697978017,0.0073739462512515935,0.08587168480501355,1.0675789059873388,1.0375871466765505
50,logistic,sgd,0.001,200,constant,-0.0933184671087323,0.0491493498278178,0.007381229714975668,0.08591408333315131,1.0816146169260408,1.0380994478842611
50,logistic,sgd,0.001,200,invscaling,-6.084671399665307,0.18668224444557469,0.042201193154410545,0.20542928991361126,4.108258705766461,2.4822011033002247
50,logistic,sgd,0.001,200,adaptive,-0.09097145735475477,0.04851152577072264,0.007373940158449888,0.08587164932880868,1.0675782191792138,1.037586718017741
50,logistic,sgd,0.01,200,constant,-0.09331039983062225,0.04914912471822021,0.007381180512818534,0.08591379698755337,1.0816096630083996,1.0380959879718044
50,logistic,sgd,0.01,200,invscaling,-6.084608145357278,0.1866812761703246,0.04220082816788893,0.20542840156095488,4.108237397230999,2.482190369339431
50,logistic,sgd,0.01,200,adaptive,-0.09096144181697347,0.048511213690744626,0.0073738792345479824,0.0858712945899151,1.067571351331174,1.0375824317094282
50,logistic,adam,1e-05,200,constant,-0.03352123861644335,0.04662329994597244,0.007029785191265886,0.08384381426954457,1.0260246145178737,1.013084396934253
50,logistic,adam,1e-05,200,invscaling,-0.03352123861644335,0.04662329994597244,0.007029785191265886,0.08384381426954457,1.0260246145178737,1.013084396934253
50,logistic,adam,1e-05,200,adaptive,-0.03352123861644335,0.04662329994597244,0.007029785191265886,0.08384381426954457,1.0260246145178737,1.013084396934253
50,logistic,adam,0.0001,200,constant,-0.03352075669246433,0.04662326368839292,0.007029781930553596,0.08384379482438516,1.0260238166084787,1.013084161978487
