base_estimator,n_estimators,learning_rate,R-squared,MAE,MSE,RMSE,RAE,RRSE
DecisionTreeRegressor(max_depth=3),200,0.01,0.7703621940152906,0.03620533411515772,0.003932055449681866,0.0627061037673516,0.39548628169570665,0.4739906762820626
DecisionTreeRegressor(max_depth=3),200,0.1,0.8054194357296632,0.03730217492266959,0.0032938980150712194,0.05739249092931251,0.4074675408989845,0.43382548037150875
DecisionTreeRegressor(max_depth=3),200,0.5,0.7416494116535468,0.04605292235898596,0.004378477000536222,0.06617006121000812,0.5030556814375937,0.5001744675274677
DecisionTreeRegressor(max_depth=3),200,1.0,0.7148404213235445,0.04917354135669925,0.004883140735938861,0.06987947292258909,0.5371435315888762,0.5282136289586759
DecisionTreeRegressor(max_depth=3),200,2.0,0.7151204426891526,0.05013270175508562,0.004860141971739337,0.06971471847278261,0.5476208490554422,0.5269682625845509
DecisionTreeRegressor(max_depth=3),200,10.0,-26.67537863799805,0.6745221175657223,0.47175272902701854,0.6868425795093215,7.36809231891326,5.191790897562405
DecisionTreeRegressor(max_depth=5),10,0.001,0.8820652904383783,0.021577394541879853,0.002070012565647697,0.04549739075647852,0.2356990687865697,0.3439113215157321
DecisionTreeRegressor(max_depth=5),10,0.01,0.8744840006857378,0.021881580893779794,0.0022010493343038473,0.04691534220597615,0.23902182583868936,0.3546295088388687
DecisionTreeRegressor(max_depth=5),10,0.1,0.8796976072411414,0.02348964428978974,0.002102368141422496,0.04585158821046983,0.256587387067765,0.3465886731716029
DecisionTreeRegressor(max_depth=5),10,0.5,0.8844910006781193,0.023998692913201263,0.0020011762553846907,0.04473450855195227,0.2621479419471925,0.3381447528673509
DecisionTreeRegressor(max_depth=5),10,1.0,0.880020406595942,0.024125661679326966,0.002089303778401924,0.04570890261646984,0.2635348758461265,0.3455101236025421
DecisionTreeRegressor(max_depth=5),10,2.0,0.862453292943693,0.027379528913254025,0.002373747889271556,0.048721123645412326,0.2990782532220737,0.36827927360294244
DecisionTreeRegressor(max_depth=5),10,10.0,-10.343056449199477,0.33122163359809886,0.18739179480522783,0.4328877392641513,3.6180749464219994,3.27216554626472
DecisionTreeRegressor(max_depth=5),30,0.001,0.8845596690411808,0.021574709116507974,0.002025067578049675,0.04500075086095426,0.23566973474170996,0.340157258261833
DecisionTreeRegressor(max_depth=5),30,0.01,0.8859334380048305,0.021238944055851493,0.00199284718240219,0.04464131698776583,0.23200203000682199,0.3374403249109211
DecisionTreeRegressor(max_depth=5),30,0.1,0.8812451095005246,0.02476747093732478,0.002068955754211564,0.04548577529526746,0.2705456316700085,0.3438235211265518
DecisionTreeRegressor(max_depth=5),30,0.5,0.8769073940124199,0.02499827015580115,0.0021415255831073064,0.046276620264527814,0.27306674981362705,0.34980145818997926
DecisionTreeRegressor(max_depth=5),30,1.0,0.8838253403805462,0.025213275466945316,0.002010728527181562,0.044841147701431126,0.2754153443820068,0.33895083009975496
DecisionTreeRegressor(max_depth=5),30,2.0,0.8773495814842244,0.028808945026375682,0.002100556899840663,0.04583183282218444,0.31469237410758544,0.34643934369183893
DecisionTreeRegressor(max_depth=5),30,10.0,-26.183859730106754,0.667994724861445,0.4632723928006306,0.6806411630225068,7.2967908288739345,5.1449148612933095
DecisionTreeRegressor(max_depth=5),50,0.001,0.8847790695671088,0.02171852846688243,0.0020227394141606896,0.0449748753657049,0.23724073474780222,0.33996166735830824
DecisionTreeRegressor(max_depth=5),50,0.01,0.8878777529092533,0.02182285095318309,0.0019663340822772732,0.04434336570759231,0.2383802936888431,0.3351881338114306
DecisionTreeRegressor(max_depth=5),50,0.1,0.8785095790255714,0.025187104527497405,0.002129669430977287,0.04614834158425725,0.27512946806616295,0.34883180938769354
DecisionTreeRegressor(max_depth=5),50,0.5,0.8747168597277994,0.025734285437697436,0.0021767179693831427,0.0466553101949086,0.2811065581518828,0.3526639466148438
DecisionTreeRegressor(max_depth=5),50,1.0,0.8783777699897788,0.026598980988848754,0.002102729162681774,0.0458555248872126,0.29055199586655595,0.3466184302121381
