base_estimator,n_estimators,learning_rate,R-squared,MAE,MSE,RMSE,RAE,RRSE
DecisionTreeRegressor(max_depth=3),10,0.1,0.6711574127928298,0.023048535110300465,0.001989280465443532,0.04460135048901022,0.5072220194441767,0.5389178993855143
DecisionTreeRegressor(max_depth=3),10,0.5,0.6409545500095252,0.02597583493966401,0.0021630457026796824,0.04650855515579561,0.5716422059706866,0.5619626440278428
DecisionTreeRegressor(max_depth=3),10,1.0,0.6708493588396707,0.02618745129917426,0.0020445141253339566,0.04521630375576886,0.5762991820737035,0.5463483766941214
DecisionTreeRegressor(max_depth=3),10,2.0,0.6231479399213582,0.03176686039937631,0.002299372364798519,0.047951771237343455,0.6990835211896833,0.5794010168685665
DecisionTreeRegressor(max_depth=3),10,10.0,-144.33588037153254,0.8568284201433736,0.7824734736395169,0.8845753069352077,18.855959370192696,10.688319098751975
DecisionTreeRegressor(max_depth=3),30,0.001,0.5246887171356911,0.02379829347500482,0.002731773778414079,0.0522663733045835,0.5237217210530025,0.6315343325029067
DecisionTreeRegressor(max_depth=3),30,0.01,0.6028480196059597,0.02313804714467487,0.0023465055066652155,0.04844074221835598,0.5091918832391061,0.5853092508358917
DecisionTreeRegressor(max_depth=3),30,0.1,0.6393013617708906,0.02526936223293899,0.0021669376725843743,0.046550377792069254,0.5560950785167117,0.5624679867369813
DecisionTreeRegressor(max_depth=3),30,0.5,0.6384110656466291,0.02679351931480762,0.0021724794094664687,0.04660986386449191,0.5896367343883707,0.5631867566585471
DecisionTreeRegressor(max_depth=3),30,1.0,0.5859360799187936,0.03154311753496743,0.002379686711965991,0.04878203267562752,0.694159680825053,0.589433061758577
