X,Z
-15.675,-0.2695
-15.65,-0.271
-15.625,-0.271
-15.6,-0.2715
-15.575,-0.2725
-15.55,-0.2735
-15.525,-0.2745
-15.5,-0.2755
-15.475,-0.2765
-15.45,-0.2765
-15.425,-0.2775
-15.4,-0.279
-15.375,-0.279
-15.35,-0.281
-15.325,-0.2805
-15.3,-0.2815
-15.275,-0.283
-15.25,-0.2815
-15.225,-0.2835
-15.2,-0.2835
-15.175,-0.2845
-15.15,-0.2845
-15.125,-0.2815
-15.1,-0.286
-15.075,-0.2845
-15.05,-0.2865
-15.025,-0.288
-15.0,-0.2865
-14.975,-0.291
-14.95,-0.289
-14.925,-0.291
-14.9,-0.2925
-14.875,-0.2915
-14.85,-0.2955
-14.825,-0.2975
-14.8,-0.298
-14.775,-0.3
-14.75,-0.3025
-14.725,-0.3015
-14.7,-0.305
-14.675,-0.306
-14.65,-0.3075
-14.625,-0.3085
-14.6,-0.309
-14.575,-0.3105
-14.55,-0.311
-14.525,-0.312
-14.5,-0.3135
-14.475,-0.314
-14.45,-0.316
-14.425,-0.317
-14.4,-0.318
-14.375,-0.319
-14.35,-0.3195
-14.325,-0.32
-14.3,-0.3195
-14.275,-0.321
-14.25,-0.322
-14.225,-0.321
-14.2,-0.3245
-14.175,-0.324
-14.15,-0.3255
-14.125,-0.3265
-14.1,-0.327
-14.075,-0.329
-14.05,-0.327
-14.025,-0.3295
-14.0,-0.33
-13.975,-0.329
-13.95,-0.3335
-13.925,-0.3305
-13.9,-0.3315
-13.875,-0.3315
-13.85,-0.331
-13.825,-0.3325
-13.8,-0.3325
-13.775,-0.332
-13.75,-0.331
-13.725,-0.331
-13.7,-0.3325
-13.675,-0.3315
-13.65,-0.332
-13.625,-0.3315
-13.6,-0.331
-13.575,-0.3325
-13.55,-0.3325
-13.525,-0.3335
-13.5,-0.334
-13.475,-0.335
-13.45,-0.336
-13.425,-0.337
-13.4,-0.338
-13.375,-0.339
-13.35,-0.34
-13.325,-0.341
-13.3,-0.342
-13.275,-0.3425
-13.25,-0.3435
-13.225,-0.3445
-13.2,-0.346
-13.175,-0.3475
-13.15,-0.3475
-13.125,-0.349
-13.1,-0.3505
-13.075,-0.353
-13.05,-0.3575
-13.025,-0.3575
-13.0,-0.3595
-12.975,-0.36
-12.95,-0.3615
-12.925,-0.3645
-12.9,-0.363
-12.875,-0.366
-12.85,-0.366
-12.825,-0.3665
-12.8,-0.369
-12.775,-0.3675
-12.75,-0.3705
-12.725,-0.3705
-12.7,-0.3705
-12.675,-0.372
-12.65,-0.371
-12.625,-0.37
-12.6,-0.3715
-12.575,-0.372
-12.55,-0.371
-12.525,-0.3715
-12.5,-0.371
-12.475,-0.37
-12.45,-0.37
-12.425,-0.371
-12.4,-0.371
-12.375,-0.3715
-12.35,-0.3695
-12.325,-0.3695
-12.3,-0.37
-12.275,-0.3705
-12.25,-0.372
-12.225,-0.372
-12.2,-0.3725
-12.175,-0.373
-12.15,-0.374
-12.125,-0.375
-12.1,-0.376
-12.075,-0.377
-12.05,-0.378
-12.025,-0.379
-12.0,-0.38
-11.975,-0.3805
-11.95,-0.3825
-11.925,-0.384
-11.9,-0.3845
-11.875,-0.387
-11.85,-0.388
-11.825,-0.389
-11.8,-0.39
-11.775,-0.391
-11.75,-0.3915
-11.725,-0.393
-11.7,-0.3935
-11.675,-0.3945
-11.65,-0.3955
-11.625,-0.3965
-11.6,-0.3975
-11.575,-0.395
-11.55,-0.393
-11.525,-0.3925
-11.5,-0.394
-11.475,-0.3925
-11.45,-0.3895
-11.425,-0.391
-11.4,-0.3925
-11.375,-0.39
-11.35,-0.388
-11.325,-0.389
-11.3,-0.389
-11.275,-0.39
-11.25,-0.391
-11.225,-0.3915
-11.2,-0.3925
-11.175,-0.393
-11.15,-0.394
-11.125,-0.395
-11.1,-0.3955
-11.075,-0.397
-11.05,-0.397
-11.025,-0.397
-11.0,-0.3975
-10.975,-0.399
-10.95,-0.399
-10.925,-0.4
-10.9,-0.401
-10.875,-0.4015
-10.85,-0.4015
-10.825,-0.4
